#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	name2
uc001aaa.2	chr1	+	1115	4121	1115	1115	3	1115,2475,3083,	2090,2584,4121,	BC032353
uc009vip.1	chr1	+	1115	4272	1115	1115	2	1115,2475,	2090,4272,	AX748260
uc001aab.2	chr1	-	4268	14764	4268	4268	10	4268,4832,5658,6469,6716,7095,7468,7777,8130,14600,	4692,4901,5810,6628,6918,7231,7605,7924,8242,14764,	DKFZp434K1323
uc009viq.1	chr1	-	4268	19221	4268	4268	7	4268,5658,6469,6720,7468,14600,19183,	4692,5810,6628,6918,7924,14754,19221,	FLJ00038
uc009vir.1	chr1	-	4268	19221	4268	4268	10	4268,4832,5658,6469,6720,7095,7777,8130,14600,19183,	4692,4901,5810,6628,6918,7605,7924,8229,14754,19221,	FLJ00038
uc001aac.2	chr1	-	4268	19221	4268	4268	11	4268,4832,5658,6469,6720,7121,7468,7777,8130,14600,19183,	4692,4901,5810,6628,6918,7231,7605,7924,8232,14754,19221,	FLJ00038
uc009vis.1	chr1	-	4268	6628	4268	4268	4	4268,4832,5658,6469,	4692,4901,5805,6628,	DKFZp434K1323
uc009vit.1	chr1	-	4268	9622	4268	4268	9	4268,4832,5658,6469,6720,7095,7777,8130,8775,	4692,4901,5810,6628,6918,7605,7924,8229,9622,	DKFZp434K1323
uc009viu.1	chr1	-	4268	9622	4268	4268	10	4268,4832,5658,6469,6720,7095,7777,8130,8363,8775,	4692,4901,5810,6628,6918,7605,7924,8232,8417,9622,	DKFZp434K1323
uc001aae.2	chr1	-	4268	9622	4268	4268	10	4268,4832,5658,6469,6720,7095,7468,7777,8130,8775,	4692,4901,5810,6628,6918,7231,7605,7924,8229,9622,	DKFZp434K1323
uc009viv.1	chr1	-	4269	19221	4269	4269	7	4269,6720,7095,7468,7777,14600,19183,	6628,6918,7231,7605,7924,14754,19221,	FLJ00038
uc009viw.1	chr1	-	4269	19221	4269	4269	7	4269,6720,7095,7777,8130,14600,19183,	6628,6918,7605,7924,8229,14754,19221,	FLJ00038
uc001aaf.1	chr1	-	4832	19672	4832	4832	10	4832,5658,6469,6720,7095,7468,7777,8130,14600,19396,	4901,5810,6628,6918,7231,7605,7924,8229,14754,19672,	DKFZp434K1323
uc009vix.1	chr1	-	5465	19221	5465	5465	7	5465,6469,6720,7095,7777,14600,19183,	5810,6628,6918,7231,7924,14754,19221,	FLJ00038
uc001aag.1	chr1	-	5658	7231	5658	5658	4	5658,6469,6738,7095,	5810,6628,6918,7231,	DKFZp686C24272
uc009viy.1	chr1	-	6469	19221	6469	6469	9	6469,6720,7095,7468,7777,8130,8359,14600,19183,	6628,6918,7231,7605,7924,8225,8417,14754,19221,	FLJ00038
uc009viz.1	chr1	-	6469	19221	6469	6469	8	6469,6716,7095,7468,7777,8130,14600,19183,	6628,6918,7231,7605,7924,8242,14754,19221,	FLJ00038
uc001aah.2	chr1	-	6720	19221	6720	6720	7	6720,7095,7468,7777,8130,14600,19183,	6918,7231,7605,7924,8229,14754,19221,	FLJ00038
uc009vja.1	chr1	-	6720	19221	6720	6720	6	6720,7095,7777,8130,14600,19183,	6918,7231,7924,8232,14754,19221,	FLJ00038
uc009vjb.1	chr1	-	6720	19824	6720	6720	7	6720,7095,7468,7777,8130,14600,19686,	6918,7231,7605,7924,8242,14754,19824,	DKFZp434K1323
uc009vjc.1	chr1	-	6720	7614	6720	6720	2	6720,7095,	6918,7614,	DKFZp434K1323
uc009vjd.1	chr1	-	6720	7924	6720	6720	3	6720,7095,7468,	6918,7231,7924,	DKFZp434K1323
uc001aai.1	chr1	-	6720	9622	6720	6720	6	6720,7095,7468,7777,8130,8775,	6918,7231,7605,7924,8242,9622,	DKFZp434K1323
uc009vje.1	chr1	-	7095	19221	7095	7095	4	7095,7777,8130,19183,	7605,7924,8229,19221,	FLJ00038
uc009vjf.1	chr1	-	7468	19221	7468	7468	7	7468,7777,8130,8359,8775,14600,19183,	7605,7924,8225,8417,9002,14754,19221,	FLJ00038
uc009vjg.1	chr1	+	19417	20957	19417	19417	3	19417,20426,20838,	19902,20530,20957,	BC048429
uc001aak.1	chr1	-	24475	25940	24475	24475	3	24475,25139,25583,	25037,25344,25940,	F379
uc009vjh.1	chr1	+	55424	59692	58953	59691	3	55424,55751,58899,	55436,55834,59692,	OR4F5
uc001aal.1	chr1	+	58953	59871	58953	59871	1	58953,	59871,	OR4F5
uc009vji.1	chr1	-	79157	735413	79157	79157	6	79157,226477,228280,628927,637007,735309,	80267,227818,228430,629032,637165,735413,	AK125248
uc009vjj.1	chr1	-	124779	126351	124779	124779	1	124779,	126351,	AK311604
uc001aam.2	chr1	-	127586	128558	127586	127586	1	127586,	128558,	DQ580039
uc001aap.1	chr1	-	129367	129428	129367	129367	1	129367,	129428,	DQ600587
uc001aaq.1	chr1	+	310946	310977	310946	310946	1	310946,	310977,	DQ599874
uc001aar.1	chr1	+	311008	311086	311008	311008	1	311008,	311086,	DQ599768
